*	name	自作英単語帳
*	card-order	3
*	repeat-missed	1
*	timer-force-wrong	1
*	card-theme	Chalkboard - Clear 2
*	tsv	true
*	deck-stats-1	1873,1958,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pact	In October last year, Japanese finance minister Taro Aso said the pact would not be renewed unless South Korea requested it.	契約、条約、協定	
chin	His chin was still red from the shave.	あご	
coalition	In August, a U.S.-led coalition launched strikes against IS positions in Iraq.	政党派閥国家などの連立，連合，合同，提携。	
mourned	Two men suspected of helping the gunman behind the deadly attacks in Copenhagen were jailed for 10 days Monday as Danes mourned the victims of a shooting spree that authorities said may have been inspired by last month’s terror attacks in Paris.	追悼する	
spree	Two men suspected of helping the gunman behind the deadly attacks in Copenhagen were jailed for 10 days Monday as Danes mourned the victims of a shooting spree that authorities said may have been inspired by last month’s terror attacks in Paris.	(連続した無差別の)犯罪行為	
custody	Rohde was speaking to reporters after a four-hour custody hearing held behind closed doors for the men, who were not named.	拘留	1,0,1,0,0,0,0,2015-05-13 13:41,1970-01-01 09:00
decrepit	Many of these have become decrepit, in danger of collapse, or have become occupied by squatters.	老朽化した	
squatters	Many of these have become decrepit, in danger of collapse, or have become occupied by squatters.	無断居住者	
limped	The figures come a day after the government said Japan’s economy limped out of recession in the last quarter of 2014	片足を引きずって歩く	
tame	In April, Tokyo raised sales taxes for the first time in 17 years as part of wider efforts to tame a massive national debt.	抑制する	
autopsy	An autopsy showed that he had died from being beaten about the face several times.	検死	
revamped	The revamped site is designed to help TELL achieve its mission to be a leader in the community in addressing the country’s growing mental health needs and make it easier to get help and support.	改良された	
Compromised	Compromised Internet security is an increasing risk for firms around the world and in all sectors.	傷ついた	0,0,1,0,0,0,0,2015-05-13 13:41,1970-01-01 09:00
adhere	A slowdown in Japanese inflation due to falling oil prices is not a problem and the Bank of Japan does not have to strictly adhere to the two-year time frame for its inflation target, said a member of the government’s top advisory panel.	固守する	
